iter	RMSE	MAE
0	0.4371923708	0.2994541155
1	0.43417028	0.2967096324
2	0.4310756555	0.2938635334
3	0.4285855626	0.2915632586
4	0.4261490171	0.2892336886
5	0.4233387683	0.2865486452
6	0.4206312877	0.2839603507
7	0.4182823545	0.2816016743
8	0.4159484534	0.2792392956
9	0.413665732	0.2768758937
10	0.4117370158	0.2749083899
11	0.40959107	0.2726712982
12	0.4077697616	0.2707287286
13	0.4057171934	0.2685909682
14	0.4040147788	0.2668307088
15	0.4024351853	0.2652309032
16	0.4006849877	0.2635528626
17	0.399415169	0.2623082844
18	0.39789163	0.2608795329
19	0.3964225439	0.2595586257
20	0.395117546	0.2583416638
21	0.3939636965	0.2572802223
22	0.3927500392	0.2561262673
23	0.3916245232	0.2550888337
24	0.3903847724	0.2540385094
25	0.3892951337	0.2530243404
26	0.3882392463	0.2520182558
27	0.387268779	0.2511038672
28	0.3863342328	0.2502430207
29	0.385456547	0.2494346175
30	0.3846191492	0.2486755031
31	0.383878525	0.2480231163
32	0.3831518859	0.2474018442
33	0.3824133711	0.2467707507
34	0.3816376467	0.2461255151
35	0.3808968695	0.245514637
36	0.3802027545	0.2449019488
37	0.3795146861	0.2443191174
38	0.3788329991	0.2437323225
39	0.3782496281	0.2432156521
40	0.3775749044	0.2426497784
41	0.3769173597	0.2421271029
42	0.3763206922	0.2416188518
43	0.3757810159	0.2411843201
44	0.3751632588	0.2407000375
45	0.374682601	0.2402993565
46	0.3741595005	0.2399236489
47	0.3735990982	0.2394462228
48	0.373063072	0.2390337082
49	0.372573523	0.2386694134
50	0.3721169	0.2383261943
51	0.3716481131	0.2379019298
52	0.37129942	0.237615401
53	0.3708527714	0.2372604999
54	0.3704697042	0.2369251712
55	0.3701617169	0.2366836681
56	0.3697619118	0.2363339823
57	0.3694171834	0.2360545475
58	0.3690603358	0.2357326818
59	0.3687005277	0.2354445661
60	0.3681394152	0.2349775001
61	0.3678482971	0.2347770826
62	0.3675088007	0.2344892568
63	0.3671814314	0.2342394183
64	0.3669143618	0.23401683
65	0.3665668341	0.23376003
66	0.3662398528	0.2334880865
67	0.3659659808	0.2332666104
68	0.365599787	0.2329099605
69	0.3652455797	0.2326270543
70	0.3649225504	0.2323648082
71	0.3646496966	0.2321280676
72	0.3643888074	0.2319182895
73	0.3640678692	0.2316552042
74	0.3638346552	0.2314367748
75	0.3635982289	0.2312123055
76	0.3633282599	0.2309670335
77	0.3631084978	0.2307682895
78	0.3629023964	0.2305406292
79	0.3626444723	0.2303357005
80	0.3623901086	0.2301256463
81	0.3622040716	0.2299417159
82	0.3620289298	0.2297944382
83	0.3617379416	0.2295185098
84	0.3615752751	0.2294043577
85	0.3614035936	0.229243768
86	0.3612092818	0.2290666582
87	0.3610716011	0.2289229939
88	0.3608556375	0.2287535933
89	0.360626248	0.2286000254
90	0.3604684888	0.2284561914
91	0.3601442356	0.228159261
92	0.359917627	0.2279668519
93	0.3597588458	0.2278022895
94	0.3595484895	0.2276355019
95	0.359398578	0.227492809
96	0.3593122312	0.2273922019
97	0.359155832	0.2272631705
98	0.3589376124	0.227086513
99	0.3587984917	0.2269497917
100	0.3586936973	0.2268527248
101	0.358464638	0.2266963164
102	0.3583109385	0.2265536295
103	0.3581940302	0.2264173118
104	0.3580488515	0.2262535836
105	0.3578892986	0.226116062
106	0.3577710978	0.2259889983
107	0.3576218346	0.2258618191
108	0.3575269204	0.2257501194
109	0.3572079453	0.2254702882
110	0.3570631901	0.2253022994
111	0.3569412516	0.2251960387
112	0.356849484	0.2250940972
113	0.3567057336	0.2249279366
114	0.3565900234	0.2248262701
115	0.3565061293	0.2247270053
116	0.3563799225	0.224599094
117	0.35627131	0.2245025455
118	0.3561544287	0.2243766804
119	0.3560456799	0.2242806098
120	0.3558902668	0.224144407
121	0.3557680534	0.2240210209
122	0.3556352214	0.223889434
123	0.3555668114	0.2238300022
124	0.3554483931	0.223709085
125	0.3552352967	0.2235386427
126	0.3551403742	0.2234454693
127	0.3549837226	0.2233139942
128	0.354907736	0.2232242262
129	0.354808773	0.2231390544
130	0.354697111	0.2229931996
131	0.3545809404	0.2228978787
132	0.3545058991	0.2228174956
133	0.3543465572	0.2226837361
134	0.3542684448	0.2226089445
135	0.3541754462	0.2225170361
136	0.3540916847	0.2223991728
137	0.3539915218	0.222316011
138	0.3538698265	0.2222052297
139	0.3537803653	0.2221210349
140	0.3536740072	0.2220389808
141	0.3536178389	0.2219757099
142	0.3534778639	0.2218332017
143	0.3533149703	0.2217121416
144	0.3531594955	0.2215820944
145	0.353069835	0.2214894187
146	0.3528823838	0.2213327881
147	0.3527944861	0.2212573539
148	0.3526926461	0.2211745546
149	0.3524328558	0.2209904891
150	0.3523385126	0.2209002418
151	0.3522578694	0.2208275402
152	0.352171339	0.2207222946
153	0.3520100252	0.2206108147
154	0.3518733862	0.2204746525
155	0.3517568477	0.2203744865
156	0.3516925561	0.2203123132
157	0.3515341245	0.2201955501
158	0.3513713054	0.2200847483
159	0.3512440259	0.2199494264
160	0.3511722685	0.2198465396
161	0.3510467436	0.2197380089
162	0.3509749757	0.2196536968
163	0.3508984575	0.2195862555
164	0.3508226682	0.2195093551
165	0.3506779561	0.2193457606
166	0.3506004131	0.2192864058
167	0.3506031985	0.2192578733
168	0.3505155389	0.2191653971
169	0.3504166235	0.2190946291
170	0.3503599933	0.2190178135
171	0.3502620873	0.2189127702
172	0.350195086	0.2188173207
173	0.3501564855	0.2187575169
174	0.3500865387	0.2186685349
175	0.3500521707	0.2186118633
176	0.3500370267	0.2185789567
177	0.3498890218	0.2184564186
178	0.3498134713	0.218370076
179	0.349733427	0.2182574682
180	0.3496632432	0.2181887974
181	0.3495485771	0.2180847887
182	0.3494780753	0.2180005788
183	0.3494194422	0.2179206391
184	0.3493739936	0.2178486556
185	0.3492487133	0.2177271053
186	0.3492099076	0.2176854802
187	0.3491103946	0.2176007345
188	0.3490091477	0.2175116926
189	0.3489222854	0.2174581607
190	0.3488517667	0.2173817331
191	0.3486488666	0.2172474552
192	0.3485728087	0.2171736068
193	0.3485170127	0.2170982856
194	0.3484706843	0.2170109214
195	0.3484421722	0.216968143
196	0.3483693111	0.2169134817
197	0.348285251	0.2168347556
198	0.3481575851	0.2166962564
199	0.3480519551	0.2166153488
