Name,geo_loc
Bangaluru Banashankari,
Bangaluru Basavanagudi,"(12.9405198, 77.5794387)"
Bangaluru Jayanagar,"(12.9405198, 77.5794387)"
Bangaluru Kumaraswamy Layout,
Bangaluru Rajarajeshwari Nagar,
Bangaluru Mysore Road,
Bangaluru Uttarahalli,
Bangaluru South Bangalore,"(12.9405198, 77.5794387)"
Bangaluru Vijay Nagar,
Bangaluru Bannerghatta Road,
Bangaluru JP Nagar,
Bangaluru BTM,
Bangaluru Wilson Garden,
Bangaluru Koramangala 5th Block,
Bangaluru Shanti Nagar,"(12.9405198, 77.5794387)"
Bangaluru Richmond Road,
Bangaluru City Market,"(12.9405198, 77.5794387)"
Bangaluru Bellandur,
Bangaluru Sarjapur Road,
Bangaluru Marathahalli,
Bangaluru HSR,
Bangaluru Old Airport Road,
Bangaluru Indiranagar,
Bangaluru Koramangala 1st Block,
Bangaluru East Bangalore,"(12.9405198, 77.5794387)"
Bangaluru MG Road,
Bangaluru Brigade Road,
Bangaluru Lavelle Road,
Bangaluru Church Street,"(12.9405198, 77.5794387)"
Bangaluru Ulsoor,
Bangaluru Residency Road,
Bangaluru Shivajinagar,
Bangaluru Infantry Road,
Bangaluru St. Marks Road,
Bangaluru Cunningham Road,
Bangaluru Race Course Road,"(12.9405198, 77.5794387)"
Bangaluru Domlur,
Bangaluru Koramangala 8th Block,
Bangaluru Frazer Town,
Bangaluru Ejipura,
Bangaluru Vasanth Nagar,
Bangaluru Jeevan Bhima Nagar,
Bangaluru Old Madras Road,
Bangaluru Commercial Street,
Bangaluru Koramangala 6th Block,
Bangaluru Majestic,
Bangaluru Langford Town,
Bangaluru Koramangala 7th Block,
Bangaluru Brookefield,
Bangaluru Whitefield,
"Bangaluru ITPL Main Road, Whitefield",
"Bangaluru Varthur Main Road, Whitefield",
Bangaluru Koramangala 2nd Block,
Bangaluru Koramangala 3rd Block,
Bangaluru Koramangala 4th Block,
Bangaluru Koramangala,
Bangaluru Bommanahalli,
Bangaluru Hosur Road,"(12.9405198, 77.5794387)"
Bangaluru Seshadripuram,
Bangaluru Electronic City,"(12.9405198, 77.5794387)"
Bangaluru Banaswadi,
Bangaluru North Bangalore,"(12.9405198, 77.5794387)"
Bangaluru RT Nagar,
Bangaluru Kammanahalli,
Bangaluru Hennur,
Bangaluru HBR Layout,
Bangaluru Kalyan Nagar,
Bangaluru Thippasandra,
Bangaluru CV Raman Nagar,
Bangaluru Kaggadasapura,
Bangaluru Kanakapura Road,
Bangaluru Nagawara,
Bangaluru Rammurthy Nagar,
Bangaluru Sankey Road,
Bangaluru Central Bangalore,"(12.9405198, 77.5794387)"
Bangaluru Malleshwaram,
Bangaluru Sadashiv Nagar,
Bangaluru Basaveshwara Nagar,
Bangaluru Rajajinagar,
Bangaluru New BEL Road,
Bangaluru West Bangalore,"(12.9405198, 77.5794387)"
Bangaluru Yeshwantpur,
Bangaluru Sanjay Nagar,
Bangaluru Sahakara Nagar,
Bangaluru Jalahalli,
Bangaluru Yelahanka,
Bangaluru Magadi Road,
Bangaluru KR Puram,
